movie_name,is_adult,year_of_release,genres,actor_1,actor_2,actor_3,imdb_rating,comb
Uri The Surgical Strike,0,2019,action drama war,vicky kaushal,paresh rawal,mohit raina,8.4,Uri The Surgical Strike action drama war vicky kaushal paresh rawal mohit raina
Battalion 609,0,2019,war,vicky ahuja,shoaib ibrahim,shrikant kamat,4.1,Battalion 609 war vicky ahuja shoaib ibrahim shrikant kamat
The Accidental Prime Minister,0,2019,biography drama,anupam kher,akshaye khanna,aahana kumra,6.1,The Accidental Prime Minister biography drama anupam kher akshaye khanna aahana kumra
Why Cheat India,0,2019,crime drama,emraan hashmi,shreya dhanwanthary,snighdadeep chatterji,6.0,Why Cheat India crime drama emraan hashmi shreya dhanwanthary snighdadeep chatterji
Evening Shadows,0,2018,drama,mona ambegaonkar,ananth narayan mahadevan,devansh doshi,7.3,Evening Shadows drama mona ambegaonkar ananth narayan mahadevan devansh doshi
Soni,0,2018,drama,geetika vidya ohlyan,saloni batra,vikas shukla,7.2,Soni drama geetika vidya ohlyan saloni batra vikas shukla
Fraud Saiyaan,0,2019,comedy drama,arshad warsi,saurabh shukla,flora saini,4.2,Fraud Saiyaan comedy drama arshad warsi saurabh shukla flora saini
Bombairiya,0,2019,comedy crime drama,radhika apte,akshay oberoi,siddhanth kapoor,4.3,Bombairiya comedy crime drama radhika apte akshay oberoi siddhanth kapoor
Manikarnika The Queen of Jhansi,0,2019,action biography drama,kangana ranaut,rimi sen,atul kulkarni,6.5,Manikarnika The Queen of Jhansi action biography drama kangana ranaut rimi sen atul kulkarni
Thackeray,0,2019,biography drama,nawazuddin siddiqui,amrita rao,abdul quadir amin,5.1,Thackeray biography drama nawazuddin siddiqui amrita rao abdul quadir amin
Amavas,0,2019,horror thriller,ali asgar,vivan bhatena,nargis fakhri,2.8,Amavas horror thriller ali asgar vivan bhatena nargis fakhri
Gully Boy,0,2019,drama music,ranveer singh,alia bhatt,siddhant chaturvedi,8.2,Gully Boy drama music ranveer singh alia bhatt siddhant chaturvedi
Hum chaar,0,2019,drama,prit kamani,simran sharma,anshuman malhotra,5.6,Hum chaar drama prit kamani simran sharma anshuman malhotra
Total Dhamaal,0,2019,action adventure comedy,ajay devgn,madhuri dixit,anil kapoor,4.3,Total Dhamaal action adventure comedy ajay devgn madhuri dixit anil kapoor
Sonchiriya,0,2019,action crime drama,sushant singh rajput,bhumi pednekar,manoj bajpayee,7.5,Sonchiriya action crime drama sushant singh rajput bhumi pednekar manoj bajpayee
Badla,0,2019,crime drama mystery,amitabh bachchan,taapsee pannu,amrita singh,7.9,Badla crime drama mystery amitabh bachchan taapsee pannu amrita singh
Mard Ko Dard Nahin Hota,0,2018,action comedy,abhimanyu dasani,radhika madan,prateek parmar,7.4,Mard Ko Dard Nahin Hota action comedy abhimanyu dasani radhika madan prateek parmar
Hamid,0,2018,drama,talha arshad reshi,vikas kumar,rasika dugal,7.7,Hamid drama talha arshad reshi vikas kumar rasika dugal
Photograph,0,2019,drama romance,nawazuddin siddiqui,sanya malhotra,sachin khedekar,6.9,Photograph drama romance nawazuddin siddiqui sanya malhotra sachin khedekar
Risknamaa,0,2019,thriller,garima agarwal,anupama,parveen bansala,6.7,Risknamaa thriller garima agarwal anupama parveen bansala
Mere Pyare Prime Minister,0,2018,drama,rasika agashe,sonia albizuri,syna anand,6.8,Mere Pyare Prime Minister drama rasika agashe sonia albizuri syna anand
22 Yards,0,2019,sport,barun sobti,rajit kapur,panchhi bora,5.3,22 Yards sport barun sobti rajit kapur panchhi bora
Kesari,0,2019,action drama history,akshay kumar,parineeti chopra,suvinder vicky,7.4,Kesari action drama history akshay kumar parineeti chopra suvinder vicky
Notebook,0,2019,drama romance,zaheer iqbal,pranutan bahl,mir mohammed mehroos,6.8,Notebook drama romance zaheer iqbal pranutan bahl mir mohammed mehroos
Junglee,0,2019,action adventure,vidyut jammwal,lars kjeldsen,,5.3,Junglee action adventure vidyut jammwal lars kjeldsen 
Gone Kesh,0,2019,drama,deepika amin,kumar kanchan ghosh,brijendra kala,7.1,Gone Kesh drama deepika amin kumar kanchan ghosh brijendra kala
Albert Pinto Ko Gussa Kyun Aata Hai?,0,2019,drama,manav kaul,nandita das,,4.8,Albert Pinto Ko Gussa Kyun Aata Hai? drama manav kaul nandita das 
The Tashkent Files,0,2019,drama mystery thriller,naseeruddin shah,mithun chakraborty,shweta basu prasad,8.0,The Tashkent Files drama mystery thriller naseeruddin shah mithun chakraborty shweta basu prasad
Kalank,0,2019,drama romance,varun dhawan,alia bhatt,aditya roy kapoor,3.6,Kalank drama romance varun dhawan alia bhatt aditya roy kapoor
Setters,0,2019,thriller,shreyas talpade,aftab shivdasani,sonnalli seygall,5.1,Setters thriller shreyas talpade aftab shivdasani sonnalli seygall
Student of the Year 2,0,2019,drama romance sport,tiger shroff,ananya panday,tara sutaria,2.5,Student of the Year 2 drama romance sport tiger shroff ananya panday tara sutaria
PM Narendra Modi,0,2019,biography drama,boman irani,vivek oberoi,barkha bisht,3.3,PM Narendra Modi biography drama boman irani vivek oberoi barkha bisht
De De Pyaar De,0,2019,comedy romance,ajay devgn,tabu,rakul preet singh,6.6,De De Pyaar De comedy romance ajay devgn tabu rakul preet singh
India's Most Wanted,0,2019,action thriller,arjun kapoor,sudev nair,rajesh sharma,4.4,India's Most Wanted action thriller arjun kapoor sudev nair rajesh sharma
Yeh Hai India,0,2017,action adventure drama,gavie chahal,mohan agashe,mohan joshi,5.7,Yeh Hai India action adventure drama gavie chahal mohan agashe mohan joshi
